ID,rodada,data,hora,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_Placar,visitante_Placar,mandante_Estado,visitante_Estado,arrecadacao,resultado,localidade,adversario
8790,1,29/03/2025,18:31,Cruzeiro,Mirassol,4-2-2-2,4-2-3-1,T. Tite,R. Guanaes,Cruzeiro,"Mineirão, Belo Horizonte",2,1,MG,SP,"2089452,0",Derrota,Fora,Cruzeiro
8802,2,06/04/2025,18:30,Mirassol,Fortaleza,4-2-3-1,4-2-3-1,R. Guanaes,T. Carpini,Empate,"Campos Maia, Mirassol",1,1,SP,CE,"113360,0",Empate,Casa,Fortaleza
8810,3,13/04/2025,16:02,Bahia,Mirassol,4-3-3,4-2-3-1,R. Ceni,R. Guanaes,Empate,"Arena Fonte Nova, Salvador",1,1,BA,SP,"1323694,0",Empate,Fora,Bahia
8819,4,16/04/2025,19:00,Mirassol,Gremio,4-2-3-1,4-2-3-1,R. Guanaes,L. Castro,Mirassol,"Campos Maia, Mirassol",4,1,SP,RS,"124740,0",Vitória,Casa,Gremio
8829,5,20/04/2025,11:04,Juventude,Mirassol,4-3-3,4-3-3,M. Barbieri,R. Guanaes,Empate,"Alfredo Jaconi, Caxias do Sul",2,2,RS,SP,"175570,0",Empate,Fora,Juventude
8837,6,26/04/2025,18:31,Mirassol,Atletico-MG,4-3-3,4-4-2,R. Guanaes,J. Sampaoli,Empate,"Campos Maia, Mirassol",2,2,SP,MG,"205180,0",Empate,Casa,Atletico-MG
8854,7,05/05/2025,19:01,Bragantino,Mirassol,4-2-3-1,4-3-3,V. Mancini,R. Guanaes,Bragantino,"Estádio Municipal Cicero De Souza Marques, Bragança Paulista",1,0,SP,SP,"173040,0",Derrota,Fora,Bragantino
8859,8,10/05/2025,18:31,Mirassol,Corinthians,4-2-3-1,4-4-2,R. Guanaes,D. Junior,Mirassol,"Campos Maia, Mirassol",2,1,SP,SP,"1170660,0",Vitória,Casa,Corinthians
8874,9,18/05/2025,20:30,Internacional,Mirassol,4-3-2-1,4-3-3,R. Díaz,R. Guanaes,Empate,"Estádio Beira-Rio, Porto Alegre",1,1,RS,SP,"596180,0",Empate,Fora,Internacional
8877,10,24/05/2025,18:31,Sao Paulo,Mirassol,4-2-3-1,4-2-3-1,H. Crespo,R. Guanaes,Mirassol,"MorumBIS, São Paulo",0,2,SP,SP,"1831001,0",Vitória,Fora,Sao Paulo
8888,11,01/06/2025,11:00,Mirassol,Sport,4-2-3-1,3-4-2-1,R. Guanaes,C. de Lucena,Mirassol,"Campos Maia, Mirassol",1,0,SP,PE,"112680,0",Vitória,Casa,Sport
8916,14,16/07/2025,19:01,Palmeiras,Mirassol,4-2-3-1,4-2-3-1,A. Ferreira,R. Guanaes,Empate,"Allianz Parque, São Paulo",1,1,SP,SP,"2115948,15",Empate,Fora,Palmeiras
8928,15,19/07/2025,18:32,Mirassol,Santos,4-3-3,4-2-3-1,R. Guanaes,J. Vojvoda,Mirassol,"Campos Maia, Mirassol",3,0,SP,SP,"1087280,0",Vitória,Casa,Santos
8937,16,23/07/2025,19:01,Ceara,Mirassol,4-2-3-1,4-3-3,M. Mozart,R. Guanaes,Mirassol,"Arena Castelão, Fortaleza",0,2,CE,SP,"238353,0",Vitória,Fora,Ceara
8949,17,26/07/2025,18:30,Mirassol,Vitoria,4-2-3-1,4-2-3-1,R. Guanaes,J. Ventura,Empate,"Campos Maia, Mirassol",1,1,SP,BA,"92940,0",Empate,Casa,Vitoria
8957,18,02/08/2025,18:30,Mirassol,Vasco,4-3-3,4-2-3-1,R. Guanaes,F. Diniz,Mirassol,"Campos Maia, Mirassol",3,2,SP,RJ,"202180,0",Vitória,Casa,Vasco
8968,19,09/08/2025,18:30,Flamengo,Mirassol,4-2-3-1,4-2-3-1,F. Luís,R. Guanaes,Flamengo,"Maracanã, Rio de Janeiro",2,1,RJ,SP,"4289937,5",Derrota,Fora,Flamengo
8985,20,18/08/2025,20:02,Mirassol,Cruzeiro,4-2-3-1,4-2-3-1,R. Guanaes,T. Tite,Empate,"Campos Maia, Mirassol",1,1,SP,MG,"247960,0",Empate,Casa,Cruzeiro
8992,21,24/08/2025,18:31,Fortaleza,Mirassol,4-4-2,4-3-3,T. Carpini,R. Guanaes,Mirassol,"Arena Castelão, Fortaleza",0,1,CE,SP,"176594,0",Vitória,Fora,Fortaleza
9002,22,31/08/2025,18:30,Mirassol,Bahia,4-3-3,4-2-3-1,R. Guanaes,R. Ceni,Mirassol,"Campos Maia, Mirassol",5,1,SP,BA,"140580,0",Vitória,Casa,Bahia
