partida_id,rodata,clube,atleta,minuto,tipo_de_gol,Período,Tempo
8790,1,Cruzeiro,Gabriel Barbosa,22,Não Informado,21-30,1º Tempo
8790,1,Cruzeiro,Dudu,14,Não Informado,11-20,1º Tempo
8802,2,Fortaleza,Emmanuel Martínez,15,Não Informado,11-20,1º Tempo
8810,3,Bahia,Erick Pulga,40,Não Informado,31-40,1º Tempo
8819,4,Gremio,Martin Braithwaite,82,Não Informado,81-90,2º Tempo
8829,5,Juventude,Sebastião Ênio Santos de Almeida,24,Não Informado,21-30,1º Tempo
8829,5,Juventude,Emerson Batalla,45+2,Não Informado,Acréscimos 1º tempo,1º Tempo
8837,6,Atletico-MG,Hulk,80,Penalty,71-80,2º Tempo
8837,6,Atletico-MG,Rony,70,Não Informado,61-70,2º Tempo
8854,7,Bragantino,Isidro Pitta,90+3,Não Informado,Acréscimos 2º tempo,2º Tempo
8859,8,Corinthians,Cacá,45+7,Não Informado,Acréscimos 1º tempo,1º Tempo
8874,9,Internacional,Ricardo Mathias,77,Não Informado,71-80,2º Tempo
8916,14,Palmeiras,Facundo Torres,54,Não Informado,51-60,2º Tempo
8949,17,Vitoria,Gabriel Baralhas,13,Não Informado,11-20,1º Tempo
8957,18,Vasco,Puma Rodríguez,66,Não Informado,61-70,2º Tempo
8957,18,Vasco,Pablo Vegetti,70,Não Informado,61-70,2º Tempo
8968,19,Flamengo,Léo Pereira,19,Não Informado,11-20,1º Tempo
8968,19,Flamengo,Gonzalo Plata,68,Não Informado,61-70,2º Tempo
8985,20,Cruzeiro,Kaio Jorge,5,Não Informado,1-10,1º Tempo
9002,22,Bahia,Rodrigo Nestor,88,Não Informado,81-90,2º Tempo
8902,12,Botafogo-RJ,Jefferson Savarino,12,Não Informado,11-20,1º Tempo
8902,12,Botafogo-RJ,Chris Ramos,31,Não Informado,31-40,1º Tempo
8902,12,Botafogo-RJ,Álvaro Montoro,40,Não Informado,31-40,1º Tempo
9029,25,Atletico-MG,Vitor Hugo Franchescoli de Souza,9,Não Informado,1-10,1º Tempo
9038,26,Bragantino,Eric dos Santos Rodrigues,26,Não Informado,21-30,1º Tempo
9049,27,Corinthians,Yuri Alberto,72,Não Informado,71-80,2º Tempo
9049,27,Corinthians,André Luiz Santos Dias,90+5,Não Informado,Acréscimos 2º tempo,2º Tempo
9049,27,Corinthians,Maycon de Andrade Barberan,18,Penalty,11-20,1º Tempo
8914,13,Fluminense,Martinelli,56,Não Informado,51-60,2º Tempo
9058,28,Internacional,Thiago Maia,38,Não Informado,31-40,1º Tempo
9079,30,Sport,Derik Lacerda,38,Não Informado,31-40,1º Tempo
9103,32,Fluminense,Kevin Serna,31,Não Informado,31-40,1º Tempo
9115,33,Palmeiras,Vitor Roque,30,Não Informado,21-30,1º Tempo
9128,34,Santos,Neymar,4,Não Informado,1-10,1º Tempo
9153,36,Vitoria,Matheus Martins Fogaça de Paulo,90,Penalty,81-90,2º Tempo
9153,36,Vitoria,Lucas Halter,25,Não Informado,21-30,1º Tempo
9156,38,Flamengo,Guilherme Gomes,31,Não Informado,31-40,1º Tempo
9156,38,Flamengo,Guilherme Gomes,59,Não Informado,51-60,2º Tempo
9156,38,Flamengo,Douglas Telles,8,Não Informado,1-10,1º Tempo
